LOCATION,MPLS,5G/LTE,VLAN-BYOD,,VLAN-CLINIC,,VLAN-SERVER,,VLAN-BACKUP,,VLAN-TEST,,VLAN-ADMIN,,VPN-MFA,
Alabaster Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Bessemer Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,TRUE,10.10.x.0/24,TRUE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Birmingham Dental Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Birmingham Hemp Hill Elementary School Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Birmingham Southern College Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Brent Elementary School Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Camden Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Camden RV CLinic,FALSE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Centreville Admin,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Centreville Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Centreville Dental Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Centreville Facilities,TRUE,TRUE,TRUE,192.168.x.0/23,FALSE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Centreville IT,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,TRUE,10.10.x.0/24,TRUE,172.0.x.0/24,TRUE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Centreville RV Mental Health Clinic,FALSE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Centreville Training Center,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Ensly Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Fairfield Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Fairfield CJ Donald Middle School Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Fairfield Glen Oaks Elementary Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Fairfield High School Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Fairfield Robinson Prepritory School Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Ensly Hope Cliinc,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Maplesville Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Marion Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
United Ability Linc Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
United Ability Helping Hands Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
West Blocton Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
West Blocton Elementary School Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
West End Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
West End RV Clinic,FALSE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,FALSE,10.200.x.0/24,TRUE,10.250.0.x/23
Woodstock Clinic,TRUE,TRUE,TRUE,192.168.x.0/23,TRUE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,TRUE,10.200.x.0/24,TRUE,10.250.0.x/23
Road Warrior,FALSE,FALSE,FALSE,192.168.x.0/23,FALSE,10.0.x.0/24,FALSE,10.10.x.0/24,FALSE,172.0.x.0/24,FALSE,10.100.x.0/24,FALSE,10.200.x.0/24,TRUE,10.250.0.x/23